Pathway, -log(p-value),Ratio,z-score,Molecules
Interferon Signaling,1.80E+01,3.89E-01,NaN,IFI35
Role of Hypercytokinemia/hyperchemokinemia in the Pathogenesis of Influenza,1.75E+01,2.09E-01,NaN,CASP1
Activation of IRF by Cytosolic Pattern Recognition Receptors,1.27E+01,2.06E-01,NaN,ADAR
Role of PKR in Interferon Induction and Antiviral Response,9.14E+00,1.10E-01,NaN,ATF3
Th1 and Th2 Activation Pathway,9.05E+00,8.77E-02,NaN,CD274
Th1 Pathway,9.00E+00,1.07E-01,NaN,CD274
Role of Pattern Recognition Receptors in Recognition of Bacteria and Viruses,8.68E+00,9.09E-02,NaN,C3AR1
T Cell Exhaustion Signaling Pathway,7.96E+00,8.00E-02,NaN,CD274
Type I Diabetes Mellitus Signaling,7.33E+00,9.91E-02,NaN,HLA-A
Neuroinflammation Signaling Pathway,7.30E+00,5.67E-02,NaN,CASP1
Crosstalk between Dendritic Cells and Natural Killer Cells,7.24E+00,1.12E-01,NaN,CD69
Communication between Innate and Adaptive Immune Cells,6.92E+00,1.04E-01,NaN,CCL3
