Term,P-value,Overlap,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
T cell receptor signaling pathway,4.77E-25,22/101,1.47E-22,0,0,25.32811421,1418.438036,ITK;NFATC2;CBLB;CD3G;CD3E;RASGRP1;CD3D;ZAP70;PTPRC;CD8B;IFNG;CD8A;LCK;GRAP2;CTLA4;PRKCQ;FYN;PLCG1;PDCD1;CD247;CARD11;LAT
Th1 and Th2 cell differentiation,7.89E-17,16/92,1.21E-14,0,0,20.22244692,749.8233906,NFATC2;CD3G;GATA3;CD3E;CD3D;RUNX3;ZAP70;IFNG;LCK;TBX21;IL2RB;STAT4;PRKCQ;PLCG1;CD247;LAT
Th17 cell differentiation,2.13E-14,15/107,2.19E-12,0,0,16.30080417,513.1469966,NFATC2;RORA;CD3G;GATA3;CD3E;CD3D;ZAP70;IFNG;LCK;TBX21;IL2RB;PRKCQ;PLCG1;CD247;LAT
Natural killer cell mediated cytotoxicity,2.60E-14,16/131,2.00E-12,0,0,14.20202379,444.2703616,KLRC3;PRF1;SH2D1B;NFATC2;GZMB;FASLG;ZAP70;IFNG;LCK;RAC2;KLRD1;FYN;PLCG1;KLRC1;CD247;LAT
Cell adhesion molecules (CAMs),5.16E-08,11/145,2.27E-06,0,0,8.82117081,148.013021,CD2;PTPRC;CD8B;ITGA4;CD6;CD8A;ICAM3;CTLA4;CD226;PDCD1;TIGIT
Cytokine-cytokine receptor interaction,9.51E-06,12/294,2.93E-04,0,0,4.74608448,54.88188258,IL32;IFNG;CCL5;IL2RB;XCL2;CD27;XCL1;FASLG;TNFRSF25;LTB;CXCR6;IL7R
NF-kappa B signaling pathway,1.80E-05,Jul-95,5.04E-04,0,0,8.567931457,93.60105635,ZAP70;LCK;PRKCQ;LTB;PLCG1;CARD11;LAT
Ras signaling pathway,3.38E-05,10/232,7.43E-04,0,0,5.012028869,51.60193699,ZAP70;GNG2;RAC2;FLT3LG;FASLG;PLCG1;RASAL3;ETS1;RASGRP1;LAT
Antigen processing and presentation,5.30E-05,Jun-77,0.001089005,0,0,9.060706735,89.19849445,IFNG;CD8B;CD8A;KLRC3;KLRD1;KLRC1
Human T-cell leukemia virus 1 infection,6.31E-04,8/219,0.009717518,0,0,4.247637252,31.29740896,CCND2;LCK;IL2RB;NFATC2;CD3G;CD3E;ETS1;CD3D
PI3K-Akt signaling pathway,0.001011363,10/354,0.014159076,0,0,3.284719485,22.65292597,RBL2;CCND2;GNG2;ITGA4;F2R;ITGA1;IL2RB;FLT3LG;FASLG;IL7R
