Gene stable ID,Gene start (bp),Gene end (bp),Gene name
ENSG00000132855,62597487,62606159,ANGPTL3
ENSG00000168509,146017468,146036746,HJV
ENSG00000042781,215622891,216423448,USH2A
ENSG00000179051,17406760,17439677,RCC2
ENSG00000143324,180632004,180890251,XPR1
ENSG00000197747,151982915,151993859,S100A10
ENSG00000135823,180972712,181023121,STX6
ENSG00000135835,180912897,180951614,KIAA1614
ENSG00000163191,152032506,152047907,S100A11
ENSG00000174151,109494052,109502932,CYB561D1
ENSG00000143190,167220876,167427345,POU2F1
ENSG00000196482,216503246,217137755,ESRRG
ENSG00000181754,109504178,109509738,AMIGO1
ENSG00000153029,181033425,181061938,MR1
ENSG00000156097,109539872,109548406,GPR61
ENSG00000009790,209756032,209782320,TRAF3IP3
ENSG00000116183,176463171,176845601,PAPPA2
ENSG00000162757,209779208,209784559,C1orf74
ENSG00000074964,17539698,17697874,ARHGEF10L
ENSG00000182898,152084141,152089064,TCHHL1
ENSG00000264343,146146203,146229026,NOTCH2NLA
ENSG00000159450,152106317,152115454,TCHH
ENSG00000271425,146064699,146229000,NBPF10
ENSG00000152092,176857302,177164973,ASTN1
ENSG00000143536,152409243,152414263,CRNN
ENSG00000177614,230314490,230426332,PGBD5
ENSG00000197915,152212076,152224193,HRNR
ENSG00000143520,152348735,152360006,FLG2
ENSG00000143631,152302175,152325203,FLG
ENSG00000077522,236664141,236764631,ACTN2
ENSG00000215853,152153595,152159228,RPTN
ENSG00000162783,181088712,181092899,IER5
ENSG00000198892,201888680,201892306,SHISA4
ENSG00000163431,201896456,201946588,LMOD1
ENSG00000134375,201955503,201970664,TIMM17A
ENSG00000135775,230642481,230693982,COG2
ENSG00000186207,152510803,152512177,LCE5A
ENSG00000169509,152514482,152516008,CRCT1
ENSG00000185966,152565654,152566772,LCE3E
ENSG00000163202,152579381,152580516,LCE3D
ENSG00000244057,152600662,152601086,LCE3C
ENSG00000162688,99850361,99924023,AGL
ENSG00000135773,230747384,230802003,CAPN9
ENSG00000198797,177170958,177282422,BRINP2
ENSG00000135744,230702523,230714122,AGT
ENSG00000117148,17755333,17827063,ACTL8
ENSG00000187238,152613811,152614098,LCE3B
ENSG00000185962,152622834,152623103,LCE3A
ENSG00000119280,230837119,230869589,C1orf198
ENSG00000065135,109548615,109618324,GNAI3
ENSG00000117154,18107798,18378483,IGSF21
ENSG00000198821,167430640,167518610,CD247
ENSG00000116337,109616104,109632053,AMPD2
ENSG00000187223,152663396,152664659,LCE2D
ENSG00000187180,152675295,152676574,LCE2C
ENSG00000159455,152686123,152687401,LCE2B
ENSG00000187173,152698345,152699442,LCE2A
ENSG00000187170,152708160,152709491,LCE4A
ENSG00000198854,152719522,152720470,C1orf68
ENSG00000203786,152759561,152762052,KPRP
ENSG00000240386,152776372,152776728,LCE1F
ENSG00000117595,209785617,209806175,IRF6
ENSG00000270339,146344131,146344790,PPIAL4H
ENSG00000186226,152786214,152788426,LCE1E
ENSG00000117597,209827972,209857565,UTP25
ENSG00000163435,202007945,202017183,ELF3
ENSG00000172155,152796751,152798181,LCE1D
ENSG00000197084,152804835,152806628,LCE1C
ENSG00000196734,152811971,152813109,LCE1B
ENSG00000186844,152827473,152827894,LCE1A
ENSG00000235942,152842868,152843983,LCE6A
ENSG00000285946,152859996,152860985,AL162596.1
ENSG00000163206,152878322,152885047,SMCP
ENSG00000176393,201982372,202006147,RNPEP
ENSG00000134183,109603267,109619929,GNAT2
ENSG00000179023,18480982,18486126,KLHDC7A
ENSG00000143643,230906243,230978875,TTC13
ENSG00000009709,18630846,18748866,PAX7
ENSG00000143469,209900923,210171389,SYT14
ENSG00000173409,230978981,231000733,ARV1
ENSG00000182118,231018958,231040254,FAM89A
ENSG00000116984,236795292,236921278,MTR
ENSG00000092978,217426992,217631090,GPATCH2
ENSG00000235710,231184098,231187627,AL109810.2
ENSG00000119283,231162112,231221556,TRIM67
ENSG00000163207,152908546,152911886,IVL
ENSG00000283227,152947154,152949258,SPRR5
ENSG00000184148,152970648,152972574,SPRR4
ENSG00000169474,152985231,152985500,SPRR1A
ENSG00000143162,167529117,167553805,CREG1
ENSG00000163209,153001747,153003856,SPRR3
